word,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
big,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.08,0.060000000000000005,0.09,0.14,0.24,0.32,0.37,0.46,0.55,0.62,0.71,0.72,0.76,0.88,0.82,0.82
bird,0.03,0.01,0.02,0.05,0.08,0.12,0.13,0.27,0.39,0.39,0.48,0.63,0.65,0.71,0.7,0.77,0.81,0.89,0.89,0.89,0.95,0.9,0.9
bite,0.0,0.01,0.01,0.02,0.03,0.03,0.05,0.09,0.125,0.12000000000000001,0.165,0.33,0.33,0.37,0.48,0.51,0.58,0.69,0.67,0.72,0.88,0.75,0.78
black,,,,,,,,,0.03,0.04,0.06,0.12,0.13,0.17,0.27,0.34,0.4,0.47,0.48,0.53,0.7,0.66,0.71
blanket,0.0,0.02,0.01,0.02,0.03,0.05,0.06,0.11,0.14500000000000002,0.18,0.255,0.42,0.46,0.52,0.59,0.66,0.72,0.8,0.81,0.83,0.93,0.85,0.86
block,0.01,0.02,0.03,0.02,0.03,0.05,0.06,0.15,0.16,0.215,0.265,0.36,0.4,0.47,0.51,0.6,0.6,0.69,0.71,0.74,0.87,0.76,0.77
blow,0.0,0.01,0.0,0.02,0.02,0.02,0.03,0.06,0.065,0.060000000000000005,0.1,0.21,0.23,0.28,0.32,0.4,0.49,0.61,0.59,0.64,0.82,0.69,0.71
blue,0.0,0.01,0.02,0.01,0.03,0.02,0.04,0.07,0.07,0.11499999999999999,0.19,0.28,0.32,0.35,0.42,0.57,0.62,0.69,0.68,0.74,0.85,0.81,0.84
boat,,,,,,,,,0.18,0.21,0.29,0.43,0.45,0.48,0.56,0.66,0.69,0.76,0.79,0.78,0.93,0.84,0.86
book,0.02,0.02,0.03,0.09,0.12,0.17,0.22,0.35,0.48,0.52,0.615,0.71,0.78,0.79,0.79,0.83,0.88,0.9,0.89,0.92,0.97,0.93,0.93
boots,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.07,0.095,0.195,0.28,0.32,0.36,0.45,0.54,0.64,0.65,0.67,0.69,0.72,0.82,0.82,0.79
bottle,0.03,0.06,0.11,0.11,0.11,0.2,0.21,0.32,0.37,0.33,0.39,0.48,0.54,0.57,0.58,0.64,0.66,0.76,0.76,0.79,0.9,0.81,0.82
bowl,0.0,0.01,0.01,0.02,0.02,0.04,0.05,0.09,0.10500000000000001,0.14500000000000002,0.195,0.31,0.33,0.39,0.47,0.55,0.63,0.68,0.67,0.76,0.88,0.77,0.81
box,0.01,0.01,0.01,0.02,0.02,0.05,0.03,0.09,0.1,0.14,0.16999999999999998,0.32,0.36,0.4,0.49,0.51,0.6,0.67,0.7,0.76,0.87,0.78,0.79
boy,0.0,0.01,0.01,0.02,0.02,0.02,0.02,0.08,0.065,0.075,0.125,0.26,0.29,0.31,0.37,0.43,0.51,0.58,0.63,0.66,0.83,0.74,0.78
bread,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.1,0.12000000000000001,0.16499999999999998,0.22,0.33,0.37,0.4,0.5,0.58,0.64,0.72,0.75,0.74,0.9,0.83,0.82
break,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.03,0.015,0.025,0.05,0.11,0.15,0.19,0.26,0.36,0.44,0.5,0.56,0.57,0.8,0.68,0.73
breakfast,0.0,0.01,0.0,0.01,0.02,0.02,0.02,0.06,0.045,0.08,0.11499999999999999,0.2,0.22,0.28,0.36,0.44,0.5,0.58,0.62,0.64,0.8,0.74,0.74
bring,0.0,0.01,0.0,0.02,0.01,0.02,0.02,0.04,0.015,0.025,0.045,0.09,0.11,0.13,0.18,0.29,0.32,0.41,0.41,0.5,0.65,0.58,0.63
broken,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.035,0.045,0.09,0.16,0.22,0.28,0.36,0.47,0.55,0.62,0.66,0.68,0.86,0.76,0.8
broom,0.01,0.01,0.0,0.02,0.01,0.04,0.02,0.1,0.065,0.085,0.11,0.21,0.26,0.28,0.37,0.42,0.49,0.57,0.59,0.64,0.79,0.64,0.69
brother,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.11,0.07500000000000001,0.115,0.11,0.17,0.19,0.21,0.28,0.3,0.31,0.39,0.46,0.44,0.58,0.59,0.59
brown,,,,,,,,,0.01,0.04,0.04,0.11,0.1,0.13,0.21,0.29,0.35,0.4,0.44,0.49,0.64,0.6,0.66
brush,0.01,0.02,0.02,0.03,0.02,0.05,0.05,0.11,0.14500000000000002,0.15,0.22,0.33,0.38,0.39,0.48,0.58,0.61,0.7,0.69,0.72,0.87,0.76,0.79
bubbles,0.01,0.01,0.02,0.05,0.06,0.1,0.13,0.2,0.29,0.38,0.49,0.6,0.63,0.64,0.71,0.77,0.83,0.88,0.86,0.89,0.95,0.89,0.92
bucket,,,,,,,,,0.01,0.05,0.07,0.13,0.13,0.19,0.27,0.33,0.39,0.45,0.48,0.48,0.69,0.59,0.65
bug,0.0,0.02,0.02,0.02,0.03,0.04,0.05,0.09,0.12000000000000001,0.155,0.225,0.38,0.39,0.4,0.49,0.57,0.63,0.7,0.73,0.72,0.89,0.77,0.76
build,,,,,,,,,0.01,0.03,0.02,0.07,0.06,0.11,0.16,0.24,0.3,0.38,0.44,0.48,0.62,0.6,0.65
bump,0.0,0.01,0.01,0.01,0.01,0.01,0.03,0.09,0.045,0.060000000000000005,0.10500000000000001,0.15,0.16,0.17,0.24,0.31,0.35,0.41,0.48,0.44,0.67,0.57,0.61
bunny,0.01,0.01,0.02,0.01,0.03,0.06,0.07,0.17,0.165,0.225,0.31,0.42,0.48,0.54,0.55,0.64,0.71,0.75,0.76,0.77,0.89,0.86,0.82
