word,8,9,10,11,12,13,14,15,16,17,18
eye,0.13,0.12,0.21,0.31,0.3,0.44,0.53,0.65,0.86,0.81,0.87
face,0.09,0.1,0.15,0.18,0.17,0.26,0.3,0.4,0.47,0.52,0.58
fall,0.03,0.09,0.11,0.1,0.1,0.17,0.26,0.32,0.48,0.45,0.54
fast,0.03,0.04,0.04,0.07,0.06,0.08,0.09,0.17,0.16,0.24,0.36
feed,0.06,0.09,0.09,0.13,0.11,0.12,0.18,0.28,0.36,0.35,0.38
fine,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.08,0.05,0.07,0.09
finger,0.11,0.13,0.18,0.22,0.21,0.27,0.34,0.42,0.59,0.61,0.66
finish,0.04,0.06,0.07,0.12,0.15,0.12,0.17,0.2,0.25,0.37,0.42
firetruck,0.06,0.07,0.07,0.11,0.13,0.19,0.19,0.33,0.35,0.42,0.54
fish (animal),0.06,0.12,0.12,0.17,0.22,0.26,0.31,0.53,0.66,0.63,0.73
fish (food),0.05,0.07,0.04,0.07,0.09,0.09,0.13,0.24,0.29,0.27,0.34
flower,0.07,0.09,0.11,0.18,0.2,0.27,0.29,0.49,0.64,0.58,0.67
food,0.18,0.2,0.25,0.35,0.38,0.41,0.45,0.5,0.57,0.66,0.72
foot,0.15,0.14,0.22,0.37,0.37,0.45,0.52,0.62,0.83,0.81,0.85
fork,0.06,0.05,0.07,0.08,0.13,0.17,0.28,0.38,0.54,0.57,0.7
frog,0.06,0.06,0.07,0.09,0.14,0.17,0.22,0.31,0.45,0.48,0.58
garage,0.03,0.04,0.04,0.05,0.06,0.1,0.12,0.2,0.31,0.21,0.23
garden,0.04,0.05,0.04,0.06,0.07,0.07,0.1,0.15,0.16,0.16,0.24
gentle,0.1,0.13,0.13,0.29,0.29,0.31,0.34,0.47,0.58,0.57,0.75
get,0.07,0.05,0.13,0.21,0.25,0.35,0.44,0.59,0.79,0.68,0.74
giraffe,0.07,0.06,0.07,0.11,0.12,0.12,0.15,0.24,0.32,0.39,0.46
girl,0.04,0.07,0.04,0.08,0.07,0.11,0.14,0.21,0.3,0.19,0.25
give,0.05,0.12,0.19,0.37,0.38,0.44,0.55,0.66,0.85,0.73,0.81
glass,0.05,0.04,0.05,0.09,0.11,0.11,0.2,0.24,0.33,0.3,0.39
glasses,0.07,0.12,0.09,0.17,0.19,0.27,0.29,0.4,0.6,0.5,0.52
go,0.06,0.14,0.2,0.25,0.27,0.42,0.51,0.68,0.81,0.71,0.8
